epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,63.6871,0.31519,0.22042,0.29328,0.92028,0.93373,1,0.975,0.93112,0.93373,1,0.975,0.95403,0.36391,0.18604,0.41875,0.91582,0.0004556,0.0004556,0.0004556
41,67.066,0.44039,0.1577,0.84988,1.13639,0.94979,1,0.987,0.9275,0.94979,1,0.987,0.96923,0.35163,0.19658,0.34487,0.88079,0.000416,0.000416,0.000416
42,68.8302,0.25999,0.25469,0.4154,0.86165,0.95766,1,0.977,0.95739,0.95766,1,0.977,0.96286,0.26623,0.19294,0.28545,0.84117,0.0003764,0.0003764,0.0003764
43,71.2539,0.21483,0.18947,0.34928,0.82901,0.95745,1,0.9718,0.95437,0.95745,1,0.9718,0.95005,0.25109,0.18116,0.39119,0.83747,0.0003368,0.0003368,0.0003368
44,72.6488,0.23605,0.15891,0.3186,0.88168,0.95688,1,0.9786,0.97061,0.95688,1,0.9786,0.9786,0.21042,0.17728,0.34018,0.81132,0.0002972,0.0002972,0.0002972
45,74.0259,0.5627,0.15506,0.54204,1.25361,0.95711,1,0.967,0.93714,0.95711,1,0.967,0.93211,0.27539,0.17859,0.39514,0.87228,0.0002576,0.0002576,0.0002576
46,75.4616,0.24256,0.20995,0.29581,0.9038,0.95796,1,0.965,0.95042,0.95796,1,0.965,0.95393,0.24111,0.1698,0.34427,0.83028,0.000218,0.000218,0.000218
47,76.9225,0.21518,0.16132,0.34314,0.86511,0.95788,1,0.9618,0.95763,0.95788,1,0.9618,0.9618,0.22634,0.16524,0.35764,0.82469,0.0001784,0.0001784,0.0001784
48,78.2965,0.20515,0.19041,0.25287,0.83749,0.95778,1,0.9634,0.95954,0.95778,1,0.9634,0.95603,0.20782,0.16509,0.36118,0.80976,0.0001388,0.0001388,0.0001388
49,79.8425,0.21004,0.19269,0.28578,0.83221,0.95782,1,0.9602,0.95155,0.95782,1,0.9602,0.93532,0.20105,0.16611,0.39415,0.8088,9.92e-05,9.92e-05,9.92e-05
50,81.155,0.20396,0.17286,0.45124,0.81494,0.95794,1,0.9634,0.95958,0.95794,1,0.9634,0.94783,0.18735,0.1649,0.38748,0.80215,5.96e-05,5.96e-05,5.96e-05
